/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-04-23 11:29:19,956 - Calc 420
2025-04-23 11:29:19,962 - Calc 421
2025-04-23 11:29:20,013 - Calc 422
2025-04-23 11:29:20,031 - Calc 423
2025-04-23 11:29:20,124 - Calc 424
2025-04-23 11:29:20,160 - Calc 425
2025-04-23 11:29:20,246 - Calc 426
2025-04-23 11:29:20,259 - Calc 427
2025-04-23 11:29:20,311 - Calc 428
2025-04-23 11:29:20,332 - Calc 429
2025-04-23 11:29:20,500 - Calc 430
2025-04-23 11:29:20,515 - Calc 431
2025-04-23 11:29:20,552 - Calc 432
2025-04-23 11:29:20,600 - Calc 433
2025-04-23 11:29:20,821 - Calc 434
2025-04-23 11:29:20,839 - Calc 435
2025-04-23 11:29:20,843 - Calc 436
2025-04-23 11:29:20,878 - Calc 437
2025-04-23 11:29:20,905 - Calc 438
2025-04-23 11:29:20,928 - Calc 439
2025-04-23 11:29:20,991 - Calc 440
2025-04-23 11:29:21,022 - Calc 441
2025-04-23 11:29:21,072 - Calc 442
2025-04-23 11:29:21,230 - Calc 443
2025-04-23 11:29:21,232 - Calc 444
2025-04-23 11:29:21,270 - Calc 445
2025-04-23 11:29:21,278 - Calc 446
2025-04-23 11:29:21,292 - Calc 447
2025-04-23 11:29:21,343 - Calc 448
2025-04-23 11:29:21,487 - Calc 449
2025-04-23 11:29:21,618 - Calc 450
2025-04-23 11:29:21,631 - Calc 451
2025-04-23 11:29:21,637 - Calc 452
2025-04-23 11:29:21,642 - Calc 453
2025-04-23 11:29:21,693 - Calc 454
2025-04-23 11:29:21,783 - Calc 455
2025-04-23 11:29:21,799 - Calc 456
2025-04-23 11:29:21,897 - Calc 457
2025-04-23 11:29:22,025 - Calc 458
2025-04-23 11:29:22,047 - Calc 459
2025-04-23 11:29:22,056 - Calc 460
2025-04-23 11:29:22,197 - Calc 461
2025-04-23 11:29:22,202 - Calc 462
2025-04-23 11:29:22,240 - Calc 463
2025-04-23 11:29:22,258 - Calc 464
2025-04-23 11:29:22,278 - Calc 465
2025-04-23 11:29:22,342 - Calc 466
2025-04-23 11:29:22,440 - Calc 467
2025-04-23 11:29:22,504 - Calc 468
2025-04-23 11:29:22,515 - Calc 469
2025-04-23 11:29:22,594 - Calc 470
2025-04-23 11:29:22,717 - Calc 471
2025-04-23 11:29:22,736 - Calc 472
2025-04-23 11:29:22,738 - Calc 473
2025-04-23 11:29:22,801 - Calc 474
2025-04-23 11:29:22,805 - Calc 475
2025-04-23 11:29:22,854 - Calc 476
2025-04-23 11:29:22,880 - Calc 477
2025-04-23 11:29:22,944 - Calc 478
2025-04-23 11:29:23,088 - Calc 479
2025-04-23 11:29:23,102 - Calc 480
2025-04-23 11:29:23,239 - Calc 481
2025-04-23 11:29:23,297 - Calc 482
2025-04-23 11:29:23,338 - Calc 483
2025-04-23 11:29:23,499 - Calc 484
2025-04-23 11:29:23,538 - Calc 485
2025-04-23 11:29:23,557 - Calc 486
2025-04-23 11:29:23,565 - Calc 487
2025-04-23 11:29:23,586 - Calc 488
2025-04-23 11:29:23,622 - Calc 489
2025-04-23 11:29:23,633 - Calc 490
2025-04-23 11:29:23,688 - Calc 491
2025-04-23 11:29:23,689 - Calc 492
2025-04-23 11:29:23,840 - Calc 493
2025-04-23 11:29:23,878 - Calc 494
2025-04-23 11:29:23,884 - Calc 495
2025-04-23 11:29:23,900 - Calc 496
2025-04-23 11:29:24,081 - Calc 497
2025-04-23 11:29:24,117 - Calc 498
2025-04-23 11:29:24,130 - Calc 499
2025-04-23 11:29:24,137 - Calc 500
2025-04-23 11:29:24,146 - Calc 501
2025-04-23 11:29:24,262 - Calc 502
2025-04-23 11:29:24,381 - Calc 503
2025-04-23 11:29:24,386 - Calc 504
2025-04-23 11:29:24,386 - Calc 505
2025-04-23 11:29:24,434 - Calc 506
2025-04-23 11:29:24,482 - Calc 507
2025-04-23 11:29:24,507 - Calc 508
2025-04-23 11:29:24,601 - Calc 509
2025-04-23 11:29:24,605 - Calc 510
2025-04-23 11:29:24,639 - Calc 511
2025-04-23 11:29:24,725 - Calc 512
2025-04-23 11:29:24,771 - Calc 513
2025-04-23 11:29:24,867 - Calc 514
2025-04-23 11:29:24,918 - Calc 515
2025-04-23 11:29:25,056 - Calc 516
2025-04-23 11:29:25,070 - Calc 517
2025-04-23 11:29:25,077 - Calc 518
2025-04-23 11:29:25,157 - Calc 519
2025-04-23 11:29:25,216 - Calc 520
2025-04-23 11:29:25,230 - Calc 521
2025-04-23 11:29:25,314 - Calc 522
2025-04-23 11:29:25,570 - Calc 523
2025-04-23 11:29:25,628 - Calc 524
2025-04-23 11:29:25,713 - Calc 525
2025-04-23 11:29:25,735 - Calc 526
2025-04-23 11:29:25,769 - Calc 527
2025-04-23 11:29:25,780 - Calc 528
2025-04-23 11:29:25,829 - Calc 529
2025-04-23 11:29:25,900 - Calc 530
2025-04-23 11:29:26,045 - Calc 531
2025-04-23 11:29:26,080 - Calc 532
2025-04-23 11:29:26,106 - Calc 533
2025-04-23 11:29:26,127 - Calc 534
2025-04-23 11:29:26,184 - Calc 535
2025-04-23 11:29:26,186 - Calc 536
2025-04-23 11:29:26,209 - Calc 537
2025-04-23 11:29:26,212 - Calc 538
2025-04-23 11:29:26,253 - Calc 539
2025-04-23 11:29:26,328 - Calc 540
2025-04-23 11:29:26,340 - Calc 541
2025-04-23 11:29:26,365 - Calc 542
2025-04-23 11:29:26,464 - Calc 543
2025-04-23 11:29:26,493 - Calc 544
2025-04-23 11:29:26,513 - Calc 545
2025-04-23 11:29:26,610 - Calc 546
2025-04-23 11:29:26,639 - Calc 547
2025-04-23 11:29:26,844 - Calc 548
2025-04-23 11:29:26,851 - Calc 549
2025-04-23 11:29:26,882 - Calc 550
2025-04-23 11:29:26,921 - Calc 551
2025-04-23 11:29:26,927 - Calc 552
2025-04-23 11:29:26,986 - Calc 553
2025-04-23 11:29:27,104 - Calc 554
2025-04-23 11:29:27,134 - Calc 555
2025-04-23 11:29:27,166 - Calc 556
2025-04-23 11:29:27,290 - Calc 557
2025-04-23 11:29:27,302 - Calc 558
2025-04-23 11:29:27,392 - Calc 559
2025-04-23 11:29:27,433 - Calc 560
2025-04-23 11:29:27,482 - Calc 561
2025-04-23 11:29:27,649 - Calc 562
2025-04-23 11:29:27,667 - Calc 563
2025-04-23 11:29:27,749 - Calc 564
2025-04-23 11:29:27,794 - Calc 565
2025-04-23 11:29:28,015 - Calc 566
2025-04-23 11:29:28,026 - Calc 567
2025-04-23 11:29:28,073 - Calc 568
2025-04-23 11:29:28,087 - Calc 569
2025-04-23 11:29:28,245 - Calc 570
2025-04-23 11:29:28,282 - Calc 571
2025-04-23 11:29:28,311 - Calc 572
2025-04-23 11:29:28,502 - Calc 573
2025-04-23 11:29:28,519 - Calc 574
2025-04-23 11:29:28,542 - Calc 575
2025-04-23 11:29:28,552 - Calc 576
2025-04-23 11:29:28,577 - Calc 577
2025-04-23 11:29:28,737 - Calc 578
2025-04-23 11:29:28,776 - Calc 579
2025-04-23 11:29:28,788 - Calc 580
2025-04-23 11:29:28,793 - Calc 581
2025-04-23 11:29:28,896 - Calc 582
2025-04-23 11:29:28,935 - Calc 583
2025-04-23 11:29:28,999 - Calc 584
2025-04-23 11:29:29,082 - Calc 585
2025-04-23 11:29:29,100 - Calc 586
2025-04-23 11:29:29,115 - Calc 587
2025-04-23 11:29:29,136 - Calc 588
2025-04-23 11:29:29,260 - Calc 589
2025-04-23 11:29:29,296 - Calc 590
2025-04-23 11:29:29,375 - Calc 591
2025-04-23 11:29:29,407 - Calc 592
