/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-06-24 16:43:58,213 - Calc 277
2025-06-24 16:43:58,218 - Calc 278
2025-06-24 16:43:58,288 - Calc 279
2025-06-24 16:43:58,305 - Calc 280
2025-06-24 16:43:58,430 - Calc 281
2025-06-24 16:43:58,468 - Calc 282
2025-06-24 16:43:58,549 - Calc 283
2025-06-24 16:43:58,970 - Calc 284
2025-06-24 16:43:59,099 - Calc 285
2025-06-24 16:43:59,105 - Calc 286
2025-06-24 16:43:59,258 - Calc 287
2025-06-24 16:43:59,503 - Calc 288
2025-06-24 16:43:59,582 - Calc 289
2025-06-24 16:43:59,597 - Calc 290
2025-06-24 16:43:59,630 - Calc 291
2025-06-24 16:43:59,652 - Calc 292
2025-06-24 16:43:59,716 - Calc 293
2025-06-24 16:43:59,789 - Calc 294
2025-06-24 16:43:59,796 - Calc 295
2025-06-24 16:43:59,908 - Calc 296
2025-06-24 16:43:59,993 - Calc 297
2025-06-24 16:44:00,034 - Calc 298
2025-06-24 16:44:00,176 - Calc 299
2025-06-24 16:44:00,340 - Calc 300
2025-06-24 16:44:00,354 - Calc 301
2025-06-24 16:44:00,375 - Calc 302
2025-06-24 16:44:00,403 - Calc 303
2025-06-24 16:44:00,549 - Calc 304
2025-06-24 16:44:00,629 - Calc 305
2025-06-24 16:44:00,705 - Calc 306
2025-06-24 16:44:00,728 - Calc 307
2025-06-24 16:44:00,861 - Calc 308
2025-06-24 16:44:00,928 - Calc 309
2025-06-24 16:44:01,051 - Calc 310
2025-06-24 16:44:01,059 - Calc 311
2025-06-24 16:44:01,192 - Calc 312
2025-06-24 16:44:01,213 - Calc 313
2025-06-24 16:44:01,320 - Calc 314
2025-06-24 16:44:01,483 - Calc 315
2025-06-24 16:44:01,513 - Calc 316
2025-06-24 16:44:01,555 - Calc 317
2025-06-24 16:44:01,592 - Calc 318
2025-06-24 16:44:01,623 - Calc 319
2025-06-24 16:44:01,754 - Calc 320
2025-06-24 16:44:01,893 - Calc 321
2025-06-24 16:44:02,076 - Calc 322
2025-06-24 16:44:02,109 - Calc 323
2025-06-24 16:44:02,152 - Calc 324
2025-06-24 16:44:02,189 - Calc 325
2025-06-24 16:44:02,263 - Calc 326
2025-06-24 16:44:02,307 - Calc 327
2025-06-24 16:44:02,624 - Calc 328
2025-06-24 16:44:02,649 - Calc 329
2025-06-24 16:44:02,808 - Calc 330
2025-06-24 16:44:02,869 - Calc 331
2025-06-24 16:44:02,913 - Calc 332
2025-06-24 16:44:03,008 - Calc 333
2025-06-24 16:44:03,275 - Calc 334
2025-06-24 16:44:03,288 - Calc 335
2025-06-24 16:44:03,303 - Calc 336
2025-06-24 16:44:03,356 - Calc 337
2025-06-24 16:44:03,450 - Calc 338
2025-06-24 16:44:03,520 - Calc 339
2025-06-24 16:44:03,553 - Calc 340
2025-06-24 16:44:03,627 - Calc 341
2025-06-24 16:44:03,729 - Calc 342
2025-06-24 16:44:03,756 - Calc 343
2025-06-24 16:44:03,763 - Calc 344
2025-06-24 16:44:03,829 - Calc 345
2025-06-24 16:44:03,941 - Calc 346
2025-06-24 16:44:03,972 - Calc 347
